GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Below 100 percent of the poverty level,Margin of Error; Total: - Below 100 percent of the poverty level,Estimate; Total: - 100 to 149 percent of the poverty level,Margin of Error; Total: - 100 to 149 percent of the poverty level,Estimate; Total: - At or above 150 percent of the poverty level,Margin of Error; Total: - At or above 150 percent of the poverty level,Estimate; Total: - Born in state of residence:,Margin of Error; Total: - Born in state of residence:,Estimate; Total: - Born in state of residence: - Below 100 percent of the poverty level,Margin of Error; Total: - Born in state of residence: - Below 100 percent of the poverty level,Estimate; Total: - Born in state of residence: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Born in state of residence: - 100 to 149 percent of the poverty level,Estimate; Total: - Born in state of residence: - At or above 150 percent of the poverty level,Margin of Error; Total: - Born in state of residence: - At or above 150 percent of the poverty level,Estimate; Total: - Born in other state in the United States:,Margin of Error; Total: - Born in other state in the United States:,Estimate; Total: - Born in other state in the United States: - Below 100 percent of the poverty level,Margin of Error; Total: - Born in other state in the United States: - Below 100 percent of the poverty level,Estimate; Total: - Born in other state in the United States: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Born in other state in the United States: - 100 to 149 percent of the poverty level,Estimate; Total: - Born in other state in the United States: - At or above 150 percent of the poverty level,Margin of Error; Total: - Born in other state in the United States: - At or above 150 percent of the poverty level,Estimate; Total: - Native; born outside the United States:,Margin of Error; Total: - Native; born outside the United States:,Estimate; Total: - Native; born outside the United States: - Below 100 percent of the poverty level,Margin of Error; Total: - Native; born outside the United States: - Below 100 percent of the poverty level,Estimate; Total: - Native; born outside the United States: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Native; born outside the United States: - 100 to 149 percent of the poverty level,Estimate; Total: - Native; born outside the United States: - At or above 150 percent of the poverty level,Margin of Error; Total: - Native; born outside the United States: - At or above 150 percent of the poverty level,Estimate; Total: - Foreign born:,Margin of Error; Total: - Foreign born:,Estimate; Total: - Foreign born: - Below 100 percent of the poverty level,Margin of Error; Total: - Foreign born: - Below 100 percent of the poverty level,Estimate; Total: - Foreign born: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Foreign born: - 100 to 149 percent of the poverty level,Estimate; Total: - Foreign born: - At or above 150 percent of the poverty level,Margin of Error; Total: - Foreign born: - At or above 150 percent of the poverty level
0400000US01,01,Alabama,4741329,2442,810231,23417,489372,17685,3441726,26596,3304433,21282,588584,19542,359778,14317,2356071,26110,1232605,19340,179619,10307,108548,7604,944438,18136,43833,4526,7126,2159,3907,1453,32800,3719,160458,5659,34902,4642,17139,2916,108417,6697
0400000US02,02,Alaska,723968,1193,71566,6534,49015,4842,603387,7422,294459,6904,46320,4549,24992,3170,223147,6692,353978,6983,20197,2803,18959,3474,314822,8228,19403,2478,2606,1155,1227,638,15570,2546,56128,4375,2443,857,3837,1255,49848,4178
0400000US04,04,Arizona,6771098,3965,1107464,27786,658492,24529,5005142,34442,2665053,24917,549516,17871,301143,14947,1814394,29397,3092011,20915,351014,10993,230071,10709,2510926,24016,94197,6148,13830,2518,9257,2046,71110,5509,919837,18196,193104,12052,118021,10111,608712,17383
0400000US05,05,Arkansas,2898630,2550,499225,17721,353065,15711,2046340,21914,1779288,19014,317994,14324,222224,11049,1239070,21587,965318,17138,152181,7947,104921,6762,708216,14917,18166,2358,2911,1295,2380,1273,12875,1847,135858,6209,26139,3736,23540,3971,86179,5166
0400000US06,06,California,38513258,8112,5525524,66544,3607866,57215,29379868,75986,21126216,56622,3178519,49485,1947451,38744,16000246,69661,6288028,44911,607988,14535,374992,12927,5305048,40810,526857,13726,53488,4851,39416,4601,433953,12459,10572157,46880,1685529,29698,1246007,27610,7640621,47998
0400000US08,08,Colorado,5420327,2295,598736,17942,418919,18902,4402672,24730,2321471,21827,281649,13242,194151,10877,1845671,22185,2483687,20494,227258,10085,151291,8574,2105138,18750,78333,5154,8469,1758,4490,1426,65374,4597,536836,14102,81360,6701,68987,8156,386489,12439
0400000US09,09,Connecticut,3469514,1932,339128,14645,215257,13319,2915129,18380,1924313,17162,181827,9878,123865,9363,1618621,20280,914754,17242,68997,5164,40879,4479,804878,15829,127168,6763,29992,3940,13429,2518,83747,6449,503279,13391,58312,5918,37084,4386,407883,12604
0400000US10,10,Delaware,926864,1051,108211,8223,60828,7138,757825,10208,418271,8452,58256,6232,29645,4581,330370,8700,403565,8513,36000,4100,21808,3851,345757,9161,16639,2681,2585,1105,2573,1529,11481,1771,88389,5170,11370,2269,6802,2014,70217,5327
0400000US11,11,District of Columbia,647654,966,120308,9084,40338,5222,487008,9529,247247,6328,68260,7448,21911,3776,157076,8582,299447,6507,37295,3878,11860,2691,250292,5867,13202,1930,1363,566,562,419,11277,1785,87758,5044,13390,2610,6005,1803,68363,5300
