GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Civilian noninstitutionalized population
HC01_MOE_VC01,Total; Margin of Error; Civilian noninstitutionalized population
HC02_EST_VC01,Public Coverage; Estimate; Civilian noninstitutionalized population
HC02_MOE_VC01,Public Coverage; Margin of Error; Civilian noninstitutionalized population
HC03_EST_VC01,Percent Public Coverage; Estimate; Civilian noninstitutionalized population
HC03_MOE_VC01,Percent Public Coverage; Margin of Error; Civilian noninstitutionalized population
HC01_EST_VC04,Total; Estimate; COVERAGE ALONE - Public health insurance alone
HC01_MOE_VC04,Total; Margin of Error; COVERAGE ALONE - Public health insurance alone
HC02_EST_VC04,Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone
HC02_MOE_VC04,Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone
HC03_EST_VC04,Percent Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone
HC03_MOE_VC04,Percent Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone
HC01_EST_VC05,Total; Estimate; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone
HC01_MOE_VC05,Total; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone
HC02_EST_VC05,Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone
HC02_MOE_VC05,Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone
HC03_EST_VC05,Percent Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone
HC03_MOE_VC05,Percent Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone
HC01_EST_VC06,Total; Estimate; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone
HC01_MOE_VC06,Total; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone
HC02_EST_VC06,Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone
HC02_MOE_VC06,Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone
HC03_EST_VC06,Percent Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone
HC03_MOE_VC06,Percent Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone
HC01_EST_VC07,Total; Estimate; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone
HC01_MOE_VC07,Total; Margin of Error; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone
HC02_EST_VC07,Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone
HC02_MOE_VC07,Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone
HC03_EST_VC07,Percent Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone
HC03_MOE_VC07,Percent Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone
