GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC03_EST_VC34,HC03_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC03_EST_VC40,HC03_MOE_VC40
Id,Id2,Geography,Total; Estimate; Civilian noninstitutionalized population,Total; Margin of Error; Civilian noninstitutionalized population,Public Coverage; Estimate; Civilian noninstitutionalized population,Public Coverage; Margin of Error; Civilian noninstitutionalized population,Percent Public Coverage; Estimate; Civilian noninstitutionalized population,Percent Public Coverage; Margin of Error; Civilian noninstitutionalized population,Total; Estimate; COVERAGE ALONE - Public health insurance alone,Total; Margin of Error; COVERAGE ALONE - Public health insurance alone,Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone,Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone,Percent Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone,Percent Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone,Total; Estimate; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone,Total; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone,Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone,Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone,Percent Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone,Percent Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone,Total; Estimate; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone,Total; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone,Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone,Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone,Percent Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone,Percent Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone,Total; Estimate; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone,Total; Margin of Error; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone,Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone,Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone,Percent Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone,Percent Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone,Total; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Total; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Public Coverage; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Public Coverage; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Percent Public Coverage; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Percent Public Coverage; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Total; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Total; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Public Coverage; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Public Coverage; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Percent Public Coverage; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Percent Public Coverage; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,"Total; Estimate; Worked full-time, year-round (18 years and over)","Total; Margin of Error; Worked full-time, year-round (18 years and over)","Public Coverage; Estimate; Worked full-time, year-round (18 years and over)","Public Coverage; Margin of Error; Worked full-time, year-round (18 years and over)","Percent Public Coverage; Estimate; Worked full-time, year-round (18 years and over)","Percent Public Coverage; Margin of Error; Worked full-time, year-round (18 years and over)","Total; Estimate; Worked full-time, year-round (18 years and over) - 18 to 64 years","Total; Margin of Error; Worked full-time, year-round (18 years and over) - 18 to 64 years","Public Coverage; Estimate; Worked full-time, year-round (18 years and over) - 18 to 64 years","Public Coverage; Margin of Error; Worked full-time, year-round (18 years and over) - 18 to 64 years","Percent Public Coverage; Estimate; Worked full-time, year-round (18 years and over) - 18 to 64 years","Percent Public Coverage; Margin of Error; Worked full-time, year-round (18 years and over) - 18 to 64 years","Total; Estimate; Worked full-time, year-round (18 years and over) - 65 years and over","Total; Margin of Error; Worked full-time, year-round (18 years and over) - 65 years and over","Public Coverage; Estimate; Worked full-time, year-round (18 years and over) - 65 years and over","Public Coverage; Margin of Error; Worked full-time, year-round (18 years and over) - 65 years and over","Percent Public Coverage; Estimate; Worked full-time, year-round (18 years and over) - 65 years and over","Percent Public Coverage; Margin of Error; Worked full-time, year-round (18 years and over) - 65 years and over",Total; Estimate; Under 6,Total; Margin of Error; Under 6,Public Coverage; Estimate; Under 6,Public Coverage; Margin of Error; Under 6,Percent Public Coverage; Estimate; Under 6,Percent Public Coverage; Margin of Error; Under 6,Total; Estimate; 6 to 17 years,Total; Margin of Error; 6 to 17 years,Public Coverage; Estimate; 6 to 17 years,Public Coverage; Margin of Error; 6 to 17 years,Percent Public Coverage; Estimate; 6 to 17 years,Percent Public Coverage; Margin of Error; 6 to 17 years,Total; Estimate; 18 to 24 years,Total; Margin of Error; 18 to 24 years,Public Coverage; Estimate; 18 to 24 years,Public Coverage; Margin of Error; 18 to 24 years,Percent Public Coverage; Estimate; 18 to 24 years,Percent Public Coverage; Margin of Error; 18 to 24 years,Total; Estimate; 25 to 34 years,Total; Margin of Error; 25 to 34 years,Public Coverage; Estimate; 25 to 34 years,Public Coverage; Margin of Error; 25 to 34 years,Percent Public Coverage; Estimate; 25 to 34 years,Percent Public Coverage; Margin of Error; 25 to 34 years,Total; Estimate; 35 to 44 years,Total; Margin of Error; 35 to 44 years,Public Coverage; Estimate; 35 to 44 years,Public Coverage; Margin of Error; 35 to 44 years,Percent Public Coverage; Estimate; 35 to 44 years,Percent Public Coverage; Margin of Error; 35 to 44 years,Total; Estimate; 45 to 54 years,Total; Margin of Error; 45 to 54 years,Public Coverage; Estimate; 45 to 54 years,Public Coverage; Margin of Error; 45 to 54 years,Percent Public Coverage; Estimate; 45 to 54 years,Percent Public Coverage; Margin of Error; 45 to 54 years,Total; Estimate; 55 to 64 years,Total; Margin of Error; 55 to 64 years,Public Coverage; Estimate; 55 to 64 years,Public Coverage; Margin of Error; 55 to 64 years,Percent Public Coverage; Estimate; 55 to 64 years,Percent Public Coverage; Margin of Error; 55 to 64 years,Total; Estimate; 65 to 74 years,Total; Margin of Error; 65 to 74 years,Public Coverage; Estimate; 65 to 74 years,Public Coverage; Margin of Error; 65 to 74 years,Percent Public Coverage; Estimate; 65 to 74 years,Percent Public Coverage; Margin of Error; 65 to 74 years,Total; Estimate; 75 years and over,Total; Margin of Error; 75 years and over,Public Coverage; Estimate; 75 years and over,Public Coverage; Margin of Error; 75 years and over,Percent Public Coverage; Estimate; 75 years and over,Percent Public Coverage; Margin of Error; 75 years and over,Total; Estimate; MEDICARE COVERAGE ALONE OR IN COMBINATION - Under 18,Total; Margin of Error; MEDICARE COVERAGE ALONE OR IN COMBINATION - Under 18,Public Coverage; Estimate; MEDICARE COVERAGE ALONE OR IN COMBINATION - Under 18,Public Coverage; Margin of Error; MEDICARE COVERAGE ALONE OR IN COMBINATION - Under 18,Percent Public Coverage; Estimate; MEDICARE COVERAGE ALONE OR IN COMBINATION - Under 18,Percent Public Coverage; Margin of Error; MEDICARE COVERAGE ALONE OR IN COMBINATION - Under 18,Total; Estimate; MEDICARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years,Total; Margin of Error; MEDICARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years,Public Coverage; Estimate; MEDICARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years,Public Coverage; Margin of Error; MEDICARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years,Percent Public Coverage; Estimate; MEDICARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years,Percent Public Coverage; Margin of Error; MEDICARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years,Total; Estimate; MEDICARE COVERAGE ALONE OR IN COMBINATION - 65 years and over,Total; Margin of Error; MEDICARE COVERAGE ALONE OR IN COMBINATION - 65 years and over,Public Coverage; Estimate; MEDICARE COVERAGE ALONE OR IN COMBINATION - 65 years and over,Public Coverage; Margin of Error; MEDICARE COVERAGE ALONE OR IN COMBINATION - 65 years and over,Percent Public Coverage; Estimate; MEDICARE COVERAGE ALONE OR IN COMBINATION - 65 years and over,Percent Public Coverage; Margin of Error; MEDICARE COVERAGE ALONE OR IN COMBINATION - 65 years and over,Total; Estimate; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - Under 18,Total; Margin of Error; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - Under 18,Public Coverage; Estimate; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - Under 18,Public Coverage; Margin of Error; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - Under 18,Percent Public Coverage; Estimate; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - Under 18,Percent Public Coverage; Margin of Error; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - Under 18,Total; Estimate; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 18 to 64 years,Total; Margin of Error; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 18 to 64 years,Public Coverage; Estimate; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 18 to 64 years,Public Coverage; Margin of Error; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 18 to 64 years,Percent Public Coverage; Estimate; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 18 to 64 years,Percent Public Coverage; Margin of Error; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 18 to 64 years,Total; Estimate; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 65 years and over,Total; Margin of Error; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 65 years and over,Public Coverage; Estimate; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 65 years and over,Public Coverage; Margin of Error; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 65 years and over,Percent Public Coverage; Estimate; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 65 years and over,Percent Public Coverage; Margin of Error; MEDICAID/MEANS-TESTED PUBLIC COVERAGE ALONE OR IN COMBINATION - 65 years and over,Total; Estimate; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - Under 18,Total; Margin of Error; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - Under 18,Public Coverage; Estimate; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - Under 18,Public Coverage; Margin of Error; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - Under 18,Percent Public Coverage; Estimate; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - Under 18,Percent Public Coverage; Margin of Error; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - Under 18,Total; Estimate; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years,Total; Margin of Error; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years,Public Coverage; Estimate; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years,Public Coverage; Margin of Error; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years,Percent Public Coverage; Estimate; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years,Percent Public Coverage; Margin of Error; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 18 to 64 years,Total; Estimate; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 65 years and over,Total; Margin of Error; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 65 years and over,Public Coverage; Estimate; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 65 years and over,Public Coverage; Margin of Error; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 65 years and over,Percent Public Coverage; Estimate; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 65 years and over,Percent Public Coverage; Margin of Error; VA HEALTH CARE COVERAGE ALONE OR IN COMBINATION - 65 years and over
0400000US01,01,Alabama,4782529,1623,1762407,18545,36.9,0.4,(X),(X),951185,17699,19.9,0.4,(X),(X),263988,7917,5.5,0.2,(X),(X),672633,16691,14.1,0.3,(X),(X),14564,2192,0.3,0.1,1185264,25640,692823,18447,58.5,0.9,3544853,25461,1057478,16441,29.8,0.4,1498550,14704,121271,5687,8.1,0.3,1439183,14849,70336,5251,4.9,0.3,59367,3388,50935,2979,85.8,2.2,349095,5470,178674,5521,51.2,1.6,748957,5418,324728,10874,43.4,1.4,455209,4786,69142,4382,15.2,0.9,609423,7121,89227,5797,14.6,0.9,583490,5034,77304,5030,13.2,0.9,635960,5551,110902,5858,17.4,0.9,637421,2718,166994,6008,26.2,0.9,459679,2696,444850,2783,96.8,0.4,303295,2654,300586,2727,99.1,0.3,1098052,3399,7081,1708,0.6,0.2,2921503,5000,196736,7194,6.7,0.2,762974,2994,744428,3325,97.6,0.3,1098052,3399,497982,13564,45.4,1.2,2921503,5000,347563,10108,11.9,0.3,762974,2994,116601,4622,15.3,0.6,1098052,3399,1459,712,0.1,0.1,2921503,5000,65314,4041,2.2,0.1,762974,2994,69974,3359,9.2,0.4
0400000US02,02,Alaska,718419,1649,211252,6272,29.4,0.9,(X),(X),118271,5678,16.5,0.8,(X),(X),19425,2282,2.7,0.3,(X),(X),95825,5317,13.3,0.7,(X),(X),3021,1036,0.4,0.1,107349,7989,63404,4829,59.1,3.2,606106,7506,145208,5518,24.0,0.9,225579,5219,26727,2606,11.8,1.1,215973,5141,18955,2299,8.8,1.0,9606,1378,7772,1345,80.9,6.3,62695,1582,24643,2148,39.3,3.5,124144,1811,39713,2913,32.0,2.3,68134,1721,10814,1749,15.9,2.6,113522,2767,19361,2274,17.1,1.8,89139,2422,14078,1605,15.8,1.8,91247,2110,15000,2091,16.4,2.2,95142,1761,16578,1704,17.4,1.8,51814,1085,48788,1291,94.2,1.5,22582,889,22277,889,98.6,0.9,186839,591,708,402,0.4,0.2,457184,2276,10399,2111,2.3,0.5,74396,1042,70255,1480,94.4,1.5,186839,591,63993,3942,34.3,2.1,457184,2276,55511,3860,12.1,0.8,74396,1042,11796,1633,15.9,2.1,186839,591,44,71,0.0,0.1,457184,2276,17490,2405,3.8,0.5,74396,1042,10499,1458,14.1,2.0
0400000US04,04,Arizona,6824645,1497,2711028,30271,39.7,0.4,(X),(X),1708667,27791,25.0,0.4,(X),(X),432996,8646,6.3,0.1,(X),(X),1251913,27363,18.3,0.4,(X),(X),23758,3042,0.3,0.1,1608161,35223,1057453,27407,65.8,1.0,5150449,35012,1635105,23321,31.7,0.4,2116560,19432,275489,9531,13.0,0.4,2032162,18873,206905,9148,10.2,0.4,84398,3712,68584,3575,81.3,2.1,519935,4922,233514,7601,44.9,1.4,1109105,4997,439798,12708,39.7,1.1,655701,3153,143368,7179,21.9,1.1,896284,3787,208823,8126,23.3,0.9,827179,3352,182123,7818,22.0,0.9,834231,3278,177339,7264,21.3,0.9,822770,1593,205336,6404,25.0,0.8,681448,1862,650557,3190,95.5,0.4,477992,1807,470170,2258,98.4,0.3,1629040,1260,5947,1331,0.4,0.1,4036165,2131,136643,6689,3.4,0.2,1159440,1437,1118645,3467,96.5,0.3,1629040,1260,669413,16024,41.1,1.0,4036165,2131,781797,17272,19.4,0.4,1159440,1437,140584,5081,12.1,0.4,1629040,1260,1333,653,0.1,0.1,4036165,2131,79738,5355,2.0,0.1,1159440,1437,113947,4143,9.8,0.4
0400000US05,05,Arkansas,2934272,895,1268609,15346,43.2,0.5,(X),(X),775885,16183,26.4,0.6,(X),(X),177116,5596,6.0,0.2,(X),(X),586895,14728,20.0,0.5,(X),(X),11874,1931,0.4,0.1,765773,19666,523997,16308,68.4,1.1,2129014,19569,731633,14404,34.4,0.6,931802,10701,114565,5038,12.3,0.5,895522,10240,82891,4856,9.3,0.5,36280,2599,31674,2444,87.3,2.5,225496,4271,132028,5562,58.6,2.1,479659,4403,242053,7479,50.5,1.6,284854,4011,65479,4621,23.0,1.5,370713,4940,83556,4487,22.5,1.2,355427,4300,78516,5283,22.1,1.4,372599,3954,88164,4970,23.7,1.3,373923,3063,117095,4178,31.3,1.1,280173,2442,272147,2685,97.1,0.6,191428,1901,189571,2135,99.0,0.4,705155,2282,4059,1183,0.6,0.2,1757516,2866,114945,5508,6.5,0.3,471601,2625,461128,3135,97.8,0.4,705155,2282,371318,9600,52.7,1.4,1757516,2866,340351,10773,19.4,0.6,471601,2625,68821,3810,14.6,0.8,705155,2282,1673,1080,0.2,0.2,1757516,2866,40780,3092,2.3,0.2,471601,2625,55125,3372,11.7,0.7
0400000US06,06,California,38763815,5125,15076801,71550,38.9,0.2,(X),(X),10142964,67493,26.2,0.2,(X),(X),1820992,21148,4.7,0.1,(X),(X),8236931,62807,21.2,0.2,(X),(X),85041,5255,0.2,0.1,8315619,75142,5767388,58945,69.4,0.4,30127675,75101,9204075,67677,30.6,0.2,12465648,40986,1744180,24193,14.0,0.2,11977077,38657,1374716,23032,11.5,0.2,488571,10434,369464,8983,75.6,1.1,2982285,11372,1445163,17777,48.5,0.6,6097493,11809,2712261,29703,44.5,0.5,3757028,6026,1107766,18361,29.5,0.5,5784207,6923,1386969,21294,24.0,0.4,5093804,6068,1104317,16460,21.7,0.3,5149293,5494,1120374,17171,21.8,0.3,4647516,3744,1220794,15850,26.3,0.3,3064553,4427,2838675,9106,92.6,0.3,2187636,4191,2140482,5499,97.8,0.2,9079778,2749,94074,8362,1.0,0.1,24431848,6473,714482,13676,2.9,0.1,5252189,3570,4969573,9731,94.6,0.2,9079778,2749,4097160,39378,45.1,0.4,24431848,6473,5376001,46830,22.0,0.2,5252189,3570,1102593,15000,21.0,0.3,9079778,2749,4483,1400,0.0,0.1,24431848,6473,283742,9759,1.2,0.1,5252189,3570,320770,7763,6.1,0.1
0400000US08,08,Colorado,5447760,2796,1786431,20159,32.8,0.4,(X),(X),1105914,19704,20.3,0.4,(X),(X),265002,6914,4.9,0.1,(X),(X),822887,19418,15.1,0.4,(X),(X),18025,2311,0.3,0.1,910969,21405,577030,15606,63.3,1.3,4487337,21925,1195965,21132,26.7,0.4,1977448,16561,219553,7196,11.1,0.4,1904992,15770,161407,6454,8.5,0.3,72456,3560,58146,3288,80.3,2.5,401291,4911,153870,6171,38.3,1.5,856876,5002,301082,8908,35.1,1.0,512762,4356,103607,5975,20.2,1.1,812752,4903,157874,6181,19.4,0.7,730228,3713,115672,5612,15.8,0.8,711995,3646,118256,5509,16.6,0.8,693965,2032,138415,4552,19.9,0.6,456527,2099,429991,3283,94.2,0.6,271364,1900,267664,1993,98.6,0.3,1258167,1463,6367,1851,0.5,0.1,3461702,3912,101241,5084,2.9,0.1,727891,2268,696461,3501,95.7,0.4,1258167,1463,449768,11942,35.7,0.9,3461702,3912,527198,12249,15.2,0.4,727891,2268,79026,3363,10.9,0.5,1258167,1463,1811,1327,0.1,0.1,3461702,3912,67022,4179,1.9,0.1,727891,2268,61395,2608,8.4,0.4
0400000US09,09,Connecticut,3525154,1010,1233744,17812,35.0,0.5,(X),(X),734664,16612,20.8,0.5,(X),(X),177353,6164,5.0,0.2,(X),(X),550907,16166,15.6,0.5,(X),(X),6404,1322,0.2,0.1,505244,17445,374863,14621,74.2,1.4,2959987,17537,849705,16836,28.7,0.5,1239284,13446,136702,6232,11.0,0.5,1177706,12497,88744,5451,7.5,0.5,61578,3193,47958,2686,77.9,2.1,222805,3173,89688,4422,40.3,2.0,528654,3092,179475,7459,33.9,1.3,349099,2206,74582,4635,21.4,1.3,427719,2515,93700,5791,21.9,1.3,419178,2143,83504,5053,19.9,1.2,520960,1931,85463,4357,16.4,0.8,500478,1602,96000,4203,19.2,0.8,320371,1340,298873,2152,93.3,0.6,235890,1318,232459,1569,98.5,0.4,751459,629,1794,687,0.2,0.1,2217434,1911,72075,4652,3.3,0.2,556261,1411,531101,2641,95.5,0.4,751459,629,268686,9712,35.8,1.3,2217434,1911,379919,10833,17.1,0.5,556261,1411,75133,3845,13.5,0.7,751459,629,149,242,0.0,0.1,2217434,1911,20576,2138,0.9,0.1,556261,1411,33603,2164,6.0,0.4
0400000US10,10,Delaware,937935,681,348257,9430,37.1,1.0,(X),(X),195948,8276,20.9,0.9,(X),(X),48419,3476,5.2,0.4,(X),(X),145624,7679,15.5,0.8,(X),(X),1905,1061,0.2,0.1,154108,9531,103256,8338,67.0,3.2,770598,9586,242879,8230,31.5,1.0,322912,6864,34879,3299,10.8,1.0,309224,6673,23179,2760,7.5,0.9,13688,1371,11700,1296,85.5,4.8,65021,1811,28389,2500,43.7,3.7,138683,1783,48797,3950,35.2,2.8,83076,1210,16509,2516,19.9,3.0,124897,1546,27609,2813,22.1,2.2,108445,1382,21902,3055,20.2,2.8,124642,1207,19164,2155,15.4,1.7,130536,916,28688,2681,22.0,2.1,99220,795,95273,1368,96.0,1.0,63415,740,61926,1049,97.7,1.4,203704,278,1455,949,0.7,0.5,571596,1025,21999,2504,3.8,0.4,162635,743,157175,1714,96.6,0.9,203704,278,76520,4524,37.6,2.2,571596,1025,94797,5808,16.6,1.0,162635,743,18755,2223,11.5,1.4,203704,278,84,104,0.0,0.1,571596,1025,6941,1470,1.2,0.3,162635,743,10199,1278,6.3,0.8
0400000US11,11,District of Columbia,670985,594,248883,8301,37.1,1.2,(X),(X),161782,8079,24.1,1.2,(X),(X),15903,2006,2.4,0.3,(X),(X),144353,7834,21.5,1.2,(X),(X),1526,787,0.2,0.1,153061,9707,109111,8530,71.3,2.8,492544,9674,137202,7776,27.9,1.4,277482,6136,36334,3605,13.1,1.2,266791,5797,28753,3394,10.8,1.2,10691,1470,7581,1254,70.9,6.7,51344,1524,23347,2485,45.5,4.2,68969,1598,36366,3193,52.7,4.4,78003,585,19360,1888,24.8,2.4,152930,659,29438,2859,19.2,1.9,97341,620,21662,2064,22.3,2.2,76731,531,19971,1934,26.0,2.5,68873,603,27863,2120,40.5,3.1,45385,725,40303,946,88.8,1.7,31409,823,30573,1012,97.3,1.7,120313,582,663,491,0.6,0.4,473878,990,14754,1944,3.1,0.4,76794,686,70482,1223,91.8,1.2,120313,582,59338,4307,49.3,3.5,473878,990,109979,5758,23.2,1.2,76794,686,20357,1832,26.5,2.4,120313,582,251,302,0.2,0.3,473878,990,5885,1360,1.2,0.3,76794,686,5072,862,6.6,1.1
