Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2016,AK,Alaska,Demographics,Sex,Gender of respondent,Male,Overall,Overall,"1,374",52.77,49.75,55.79,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC51,02,BO1,CAT1,SEX,RESP001,"(64.84507995700051, -147.72205903599973)"
2016,AK,Alaska,Demographics,Sex,Gender of respondent,Female,Overall,Overall,"1,540",47.23,44.21,50.25,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC51,02,BO1,CAT1,SEX,RESP002,"(64.84507995700051, -147.72205903599973)"
2016,CA,California,Demographics,Age,What is your age?,25-34 years,Overall,Overall,"1,865",18.99,18.05,19.93,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC02,06,BO1,CAT1,AGE,RESP011,"(37.63864012300047, -120.99999953799971)"
2016,CA,California,Demographics,Sex,Gender of respondent,Male,Overall,Overall,"5,450",49.2,48,50.4,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC51,06,BO1,CAT1,SEX,RESP001,"(37.63864012300047, -120.99999953799971)"
2016,CA,California,Demographics,Sex,Gender of respondent,Female,Overall,Overall,"5,943",50.8,49.6,52,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC51,06,BO1,CAT1,SEX,RESP002,"(37.63864012300047, -120.99999953799971)"
2016,CO,Colorado,Demographics,Age,What is your age?,45-54 years,Overall,Overall,"2,417",16.84,16.1,17.58,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC02,08,BO1,CAT1,AGE,RESP013,"(38.843840757000464, -106.13361092099967)"
2016,CO,Colorado,Demographics,Sex,Gender of respondent,Male,Overall,Overall,"6,821",49.87,48.79,50.95,1,%,Crude Prevalence,,,BRFSS,CLASS05,TOPIC51,08,BO1,CAT1,SEX,RESP001,"(38.843840757000464, -106.13361092099967)"
2016,AL,Alabama,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,"2,610",42.12,40.53,43.71,1,%,Crude Prevalence,,,BRFSS,CLASS01,TOPIC03,01,BO1,CAT1,DRNKANY5,RESP046,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,"4,066",57.88,56.29,59.47,1,%,Crude Prevalence,,,BRFSS,CLASS01,TOPIC03,01,BO1,CAT1,DRNKANY5,RESP054,"(32.84057112200048, -86.63186076199969)"
2016,AL,Alabama,Alcohol Consumption,Binge Drinking,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",Yes,Overall,Overall,714,12.95,11.83,14.07,1,%,Crude Prevalence,,,BRFSS,CLASS01,TOPIC07,01,BO1,CAT1,_RFBING5,RESP046,"(32.84057112200048, -86.63186076199969)"
