,city,country,coord,id,lat,lng,cur_date,cur_temp,cur_humidity,cur_clouds,cur_wind,max_date,max_temp,max_temp_humidity,max_temp_clouds,max_temp_wind,avg_date0,avg_date1,avg_temp,avg_humidity,avg_clouds,avg_wind
0,adrar,dz,"{'lon': -0.29388000000000003, 'lat': 27.87429}",2508813,27.87,-0.29,1517040000,48.2,45,0,23.04,1517065200,66.69,28,0,15.46,1517043600,1517464800,64.72325000000001,39.0,51.9,12.834500000000002
1,barrow,us,"{'lon': -156.788727, 'lat': 71.290581}",5880054,71.29,-156.79,1517039580,-23.81,90,90,4.7,1517108400,-8.43,100,56,15.37,1517043600,1517464800,-3.7472499999999997,92.6,36.8,12.401749999999998
2,palmer,us,"{'lon': -98.257294, 'lat': 41.22224}",5074769,41.22,-98.26,1517040900,30.22,86,1,9.17,1517086800,39.23,89,0,7.0,1517043600,1517464800,24.12625,80.9,29.5,8.51
6,punta arenas,cl,"{'lon': -70.916672, 'lat': -53.150002}",3874787,-53.15,-70.92,1517040000,51.8,62,75,17.22,1517065200,53.2,82,8,17.92,1517043600,1517464800,48.3235,92.375,50.0,20.572750000000003
7,rosario,br,"{'lon': -44.2493388, 'lat': -2.9410215}",0,-2.94,-44.25,1517040000,77.0,88,75,4.7,1517065200,81.22,91,68,7.29,1517043600,1517464800,78.602,93.225,52.6,5.27425
8,puerto leguizamo,co,"{'lon': -74.781891, 'lat': -0.19337000000000001}",3671437,-0.19,-74.78,1517041987,74.27,98,88,2.39,1517076000,85.0,73,36,3.42,1517043600,1517464800,82.7415,72.375,37.8,2.8600000000000003
9,tasiilaq,gl,"{'lon': -37.636761, 'lat': 65.61451}",3424607,65.61,-37.64,1517039400,21.2,79,88,1.12,1517076000,25.96,94,92,2.42,1517043600,1517464800,25.775750000000006,94.675,80.7,16.99625
10,salekhard,ru,"{'lon': 66.601936, 'lat': 66.529999}",1493197,66.53,66.6,1517041988,17.66,83,20,20.85,1517065200,22.15,86,36,17.13,1517043600,1517464800,3.9844999999999997,70.9,23.7,8.753
11,khani,ru,"{'lon': 119.965, 'lat': 56.933333}",0,56.93,119.97,1517041989,-16.05,61,36,1.95,1517119200,-15.24,58,32,2.39,1517043600,1517464800,-18.8405,47.6,36.5,2.3630000000000004
12,nikolskoye,ru,"{'lon': 166.0015368, 'lat': 55.1981604}",0,55.2,166.0,1517041989,33.9,92,0,12.8,1517130000,38.44,88,92,30.89,1517043600,1517464800,36.234249999999996,91.8,83.3,21.640499999999996
13,narsaq,gl,"{'lon': -46.049999, 'lat': 60.916672}",3421719,60.92,-46.05,1517039400,28.4,63,75,3.36,1517043600,24.39,64,76,3.96,1517043600,1517464800,7.501249999999999,69.85,55.0,3.0982499999999997
14,busselton,au,"{'lon': 115.370796, 'lat': -33.684769}",7839477,-33.68,115.37,1517041990,72.24,95,0,20.07,1517119200,73.28,89,0,20.56,1517043600,1517464800,69.24,91.125,4.8,18.919
16,faanui,pf,"{'lon': -151.75, 'lat': -16.48333}",4034551,-16.48,-151.75,1517041991,82.68,100,68,14.25,1517043600,82.68,100,68,14.25,1517043600,1517464800,81.68775000000001,100.0,67.7,12.48425
17,kapaa,us,"{'lon': -159.318954, 'lat': 22.075211}",5848280,22.08,-159.32,1517039760,69.8,88,1,4.7,1517097600,76.13,80,76,2.82,1517043600,1517464800,69.84700000000001,96.225,45.7,4.43125
18,port elizabeth,za,"{'lon': 25.57007, 'lat': -33.917992}",964420,-33.92,25.57,1517040000,69.8,94,90,9.17,1517054400,71.8,97,64,10.76,1517043600,1517464800,69.85025,95.6,30.6,16.945999999999998
19,pevek,ru,"{'lon': 170.313324, 'lat': 69.700829}",2122090,69.7,170.31,1517041993,18.78,84,68,29.57,1517086800,25.28,78,36,26.62,1517043600,1517464800,17.345499999999998,71.45,19.1,14.249
20,ponta do sol,cv,"{'lon': -25.091921, 'lat': 17.199421}",3374346,17.2,-25.09,1517041994,70.22,100,0,24.32,1517076000,71.36,98,0,24.34,1517043600,1517464800,68.7855,99.9,17.9,21.33425
21,rikitea,pf,"{'lon': -134.969177, 'lat': -23.120279}",4030556,-23.12,-134.97,1517041994,79.44,100,56,17.72,1517108400,81.04,97,0,14.09,1517043600,1517464800,79.28824999999999,99.675,56.1,13.614499999999998
22,tautira,pf,"{'lon': -149.149994, 'lat': -17.73333}",4033557,-17.73,-149.15,1517040000,80.6,69,20,1.12,1517097600,82.74,100,56,11.65,1517043600,1517464800,81.35874999999999,99.875,50.0,11.05525
23,taolanaro,mg,"{'lon': 46.9853688, 'lat': -25.0225309}",0,-25.02,46.99,1517040000,78.8,78,40,18.34,1517130000,83.94,76,0,7.18,1517043600,1517464800,78.51775,89.575,30.6,10.70075
24,berlevag,no,"{'lon': 29.086361, 'lat': 70.85778}",780687,70.86,29.09,1517041996,25.76,100,68,10.45,1517065200,26.19,100,76,7.74,1517043600,1517464800,6.3694999999999995,100.0,14.8,6.882
25,mataura,pf,"{'lon': -149.4850445, 'lat': -23.3470634}",0,-23.35,-149.49,1517041997,77.87,100,80,7.76,1517108400,78.47,100,88,3.51,1517043600,1517464800,77.88149999999999,99.6,66.5,7.703
26,tiarei,pf,"{'lon': -149.333328, 'lat': -17.533331}",4033356,-17.53,-149.33,1517040000,80.6,69,20,1.12,1517086800,81.98,100,76,11.3,1517043600,1517464800,80.46324999999999,99.975,49.5,10.01975
27,havoysund,no,"{'lon': 24.66217, 'lat': 70.996338}",779622,71.0,24.66,1517041200,26.6,86,90,9.17,1517065200,27.28,98,80,6.85,1517043600,1517464800,15.501749999999998,99.95,22.5,8.905000000000001
28,yumen,cn,"{'lon': 97.199997, 'lat': 40.283329}",1528998,40.28,97.2,1517041999,5.01,79,92,17.27,1517043600,6.44,79,92,17.27,1517043600,1517464800,0.12750000000000003,71.525,43.5,9.28525
29,hithadhoo,mv,"{'lon': 73.083328, 'lat': -0.6000000000000001}",1282256,-0.6,73.08,1517042000,83.09,100,8,11.23,1517054400,83.25,100,0,13.22,1517043600,1517464800,82.11425,99.825,29.3,12.195249999999998
30,ushuaia,ar,"{'lon': -68.300003, 'lat': -54.799999}",3833367,-54.8,-68.3,1517040000,50.0,87,90,5.82,1517076000,53.28,63,44,14.05,1517043600,1517464800,44.57875,83.7,43.3,12.632
31,hammerfest,no,"{'lon': 23.682091, 'lat': 70.663361}",779683,70.66,23.68,1517041200,26.6,86,90,9.17,1517065200,33.25,100,88,11.54,1517043600,1517464800,22.20275,100.0,25.7,10.1175
33,sao filipe,cv,"{'lon': -24.49556, 'lat': 14.8961}",3374210,14.9,-24.5,1517042002,71.97,92,44,19.51,1517065200,74.21,85,56,20.04,1517043600,1517464800,70.54825000000001,95.4,13.5,18.284
34,batemans bay,au,"{'lon': 150.183334, 'lat': -35.716671}",2176639,-35.72,150.18,1517042002,74.31,87,88,7.09,1517108400,76.36,84,44,7.61,1517043600,1517464800,69.41574999999999,87.9,38.7,7.587249999999999
