,Compound_Score,Date,Followers,Negative_Score,Neutral_Score,Positive_Score,Screen_Name,Tweet_Text
0,-0.4404,Fri Feb 02 16:59:34 +0000 2018,36868459,0.272,0.617,0.111,BBC Breaking News,President Trump approves release of controversial memo that is thought to accuse the FBI of abusing its powers https://t.co/YDGyaVkZ6a
1,-0.128,Fri Feb 02 14:22:13 +0000 2018,36868459,0.218,0.661,0.121,BBC Breaking News,Father of victim tries to attack disgraced US Olympic gym doctor Larry Nassar in court but is tackled by security https://t.co/sdj8xYCC0P
2,-0.7845,Fri Feb 02 12:55:15 +0000 2018,36868459,0.277,0.723,0.0,BBC Breaking News,"Finsbury Park attacker Darren Osborne, who drove a van into Muslims, jailed for life, with minimum term of 43 years https://t.co/KJs71UDVUo"
3,-0.7964,Fri Feb 02 10:20:23 +0000 2018,36868459,0.321,0.679,0.0,BBC Breaking News,"Ninety migrants feared drowned after boat capsizes off Libyan coast, with just three survivors, says UN https://t.co/MIpVFAOC4Q"
4,-0.6908,Fri Feb 02 09:00:47 +0000 2018,36868459,0.305,0.695,0.0,BBC Breaking News,"Two army helicopters collide in southern France, killing at least five people, reports say https://t.co/f4Vj0KYcv0"
5,-0.4019,Fri Feb 02 03:47:03 +0000 2018,36868459,0.137,0.863,0.0,BBC Breaking News,"At least 18 people injured as a van hits pedestrians outside a Starbucks cafe in Shanghai, China - cause unknown https://t.co/RVznKpgZGA"
6,-0.6486,Fri Feb 02 01:54:41 +0000 2018,36868459,0.235,0.765,0.0,BBC Breaking News,"Son of Cuba's ex-leader Fidel Castro found dead, having reportedly taken his own life https://t.co/n8SuU2zAyV"
7,-0.9217,Thu Feb 01 15:53:46 +0000 2018,36868459,0.404,0.596,0.0,BBC Breaking News,"Man who drove van into crowd of people near mosque in Finsbury Park, London, guilty of murder and attempted murder https://t.co/LEvqxdaruA"
8,-0.4767,Thu Feb 01 11:13:30 +0000 2018,36868459,0.171,0.829,0.0,BBC Breaking News,Kenyan government shutdown of three largest private TV channels suspended by court pending full hearing https://t.co/LlcKVIDRB2
9,-0.8834,Wed Jan 31 18:09:10 +0000 2018,36868459,0.484,0.516,0.0,BBC Breaking News,"Prisoner stabbed to death at Wormwood Scrubs jail, in west London, police confirm https://t.co/UTDxfOtglV"
10,0.0,Wed Jan 31 02:02:15 +0000 2018,36868459,0.0,1.0,0.0,BBC Breaking News,Watch US President Donald Trump's first State of the Union address live here https://t.co/4F1z9xhir2
11,0.0772,Tue Jan 30 23:48:58 +0000 2018,36868459,0.0,0.92,0.08,BBC Breaking News,"US President Donald Trump to hail ""New American Moment"" in State of the Union address https://t.co/XA5KcQScxr"
12,-0.0772,Tue Jan 30 22:09:32 +0000 2018,36868459,0.121,0.769,0.109,BBC Breaking News,"The Afghan Taliban, whom US-led forces spent billions of dollars trying to defeat, are now openly active in 70% of… https://t.co/qJZVdkI4K2"
13,-0.8555,Tue Jan 30 18:54:45 +0000 2018,36868459,0.387,0.446,0.167,BBC Breaking News,"Glee actor Mark Salling, who admitted possessing child sex abuse images, found dead in an apparent suicide, US medi… https://t.co/iur9yP4hi1"
14,-0.1027,Tue Jan 30 17:14:20 +0000 2018,36868459,0.069,0.931,0.0,BBC Breaking News,"Four ringleaders behind the Hatton Garden raid must pay a total of £27.5m or serve another 7 years in jail, a Londo… https://t.co/zClw9WdOPH"
15,-0.8957,Tue Jan 30 13:28:03 +0000 2018,36868459,0.44,0.56,0.0,BBC Breaking News,"Homeless Chris Parker, who stole from Manchester Arena bomb attack victims, jailed for four years and three months https://t.co/7qTAklSDIl"
16,-0.8316,Tue Jan 30 11:09:06 +0000 2018,36868459,0.4,0.5,0.1,BBC Breaking News,.@metpoliceuk apologise to student Liam Allan for errors in handling of failed rape case against him https://t.co/iDHMglsnwj
17,0.2023,Mon Jan 29 22:28:59 +0000 2018,36868459,0.0,0.899,0.101,BBC Breaking News,"Irish government agrees to hold referendum on liberalising abortion laws at end of May, PM says https://t.co/1dOkBFyRSo"
18,-0.2023,Mon Jan 29 22:01:20 +0000 2018,36868459,0.087,0.913,0.0,BBC Breaking News,"CIA director tells the BBC he sees Russia as an adversary, expects it to target the US mid-term elections https://t.co/qZ6MCJVUdD"
19,-0.3818,Mon Jan 29 17:43:15 +0000 2018,36868459,0.175,0.825,0.0,BBC Breaking News,"FBI Deputy Director Andrew McCabe, who President Trump accused of political bias, is stepping down early - US media https://t.co/KUOvwrljy2"
20,-0.4404,Fri Feb 02 16:59:34 +0000 2018,36868459,0.272,0.617,0.111,BBC Breaking News,President Trump approves release of controversial memo that is thought to accuse the FBI of abusing its powers https://t.co/YDGyaVkZ6a
