Registrar,Total Number of Domains,Change,Share Percent
"Alibaba Cloud Computing Ltd. (HiChina / www.net.cn, Alibaba Group Holding Ltd.)","5,699,823","-5,017 ",25.00%
"NameCheap, Inc.","2,941,933","5,598 ",13.00%
"GoDaddy.com, LLC (GoDaddy Group)","2,018,617","2,199 ",9.00%
"GMO Internet, Inc. d/b/a Onamae.com","1,442,578","1,203 ",6.00%
"Chengdu West Dimension Digital Technology Co., Ltd. (www.west.cn)","1,177,460","-3,077 ",5.00%
ALIBABA.COM SINGAPORE E-COMMERCE PRIVATE LIMITED,"696,926","1,706 ",3.00%
Alpnames Limited,"622,478","-6,280 ",3.00%
West263 International Limited,"598,468","6,978 ",3.00%
PDR Ltd. d/b/a PublicDomainRegistry.com,"535,911",571 ,2.00%
"eNom, Inc. (Tucows)","442,624","1,753 ",2.00%
"Tucows Domains Inc. (OpenSRS / Hover, Tucows)","421,522",101 ,2.00%
1&1 Internet SE (United Internet AG),"325,298",61 ,1.00%
Uniregistrar Corp,"315,550",-47 ,1.00%
"eName Technology Co., Ltd.","293,269",-95 ,1.00%
"EIMS (Shenzhen) Culture & Technology Co., Ltd","267,258",10 ,1.00%
"Knet Registrar Co., Ltd","223,461",-121 ,1.00%
Gandi SAS,"209,888",-1 ,1.00%
Xin Net Technology Corporation,"209,042",255 ,1.00%
"Name.com, Inc. (Rightside)","191,541",113 ,1.00%
"Network Solutions, LLC (Web.com)","167,335",796 ,1.00%
"Mesh Digital Limited (Domainmonster, Host Europe Group)","164,217",-25 ,1.00%
"Key-Systems, LLC (KeyDrive Group)","163,713",161 ,1.00%
united-domains AG (United Internet AG),"161,819",-26 ,1.00%
"Epik, Inc.","153,701",10 ,1.00%
OVH sas,"153,185",104 ,1.00%
"NameSilo, LLC","151,706",80 ,1.00%
Google LLC,"129,852",535 ,1.00%
"22net, Inc.","129,511",-9 ,1.00%
"Cronon AG (Strato AG, United Internet AG)","120,185",58 ,1.00%
Automattic Inc.,"118,607",249 ,1.00%
Registrar of Domain Names REG.RU LLC,"115,484",67 ,1.00%
"PSI-USA, Inc. dba Domain Robot (InterNetX GmbH, United Internet AG)","102,444",46 ,0.00%
"Todaynic.com, Inc.","101,099",-925 ,0.00%
1API GmbH (HEXONET GmbH),"99,528",134 ,0.00%
"Dynadot, LLC","97,314",9 ,0.00%
Reserved - Registry Operator acts as Registrar,"96,675",-209 ,0.00%
Nics Telekomunikasyon A.S.,"93,144",129 ,0.00%
Jiangsu Bangning Science & technology Co. Ltd.,"89,769",-91 ,0.00%
"Regional Network Information Center, JSC dba RU-CENTER","88,024",-27 ,0.00%
"Ascio Technologies (NetNames, Ascio, Easily, Speednames)","79,399",175 ,0.00%
Eranet International Limited,"76,957",-22 ,0.00%
"Hostinger, UAB","71,944",143 ,0.00%
"Bizcn.com, Inc.","66,926",18 ,0.00%
"101domain, Inc.","63,689",-70 ,0.00%
"URL Solutions, Inc.","60,071",76 ,0.00%
Porkbun LLC,"55,205",99 ,0.00%
FBS Inc.,"48,134",181 ,0.00%
Crazy Domains FZ-LLC,"47,497",16 ,0.00%
"CSC Corporate Domains, Inc.","45,777",5 ,0.00%
Hosting Concepts B.V. d/b/a Openprovider,"44,760",3 ,0.00%
MarkMonitor Inc.,"42,897",96 ,0.00%
"Name Share, Inc.","40,821",20 ,0.00%
Instra Corporation Pty Ltd.,"37,642",-17 ,0.00%
Beijing Innovative Linkage Software Service Co. Ltd,"35,839",9 ,0.00%
"Global Domains International, Inc. DBA DomainCostClub.com","34,193",57 ,0.00%
MAT BAO CORPORATION,"34,063",38 ,0.00%
TLD Registrar Solutions Ltd.,"30,842",19 ,0.00%
"Shanghai Meicheng Technology Information Development Co., Ltd.","30,841",19 ,0.00%
"Wild West Domains, LLC (GoDaddy Group)","29,488",-21 ,0.00%
Realtime Register B.V.,"27,983",-4 ,0.00%
Metaregistrar BV,"27,164",16 ,0.00%
DOTSERVE INC.,"26,023",20 ,0.00%
Nom-iq Ltd. dba COM LAUDE,"25,294",-34 ,0.00%
"Xiamen ChinaSource Internet Service Co., Ltd","24,983",68 ,0.00%
P.A. Viet Nam Company Limited,"23,996",-1 ,0.00%
EJEE Group Holdings Limited,"23,333",-13 ,0.00%
EuroDNS S.A.,"23,097",37 ,0.00%
Hosting Ukraine LLC,"22,893",27 ,0.00%
HiChina Zhicheng Technology Limited (Alibaba Group Holding Ltd.),"22,831",16 ,0.00%
"RegistryGate GmbH (PartnerGate GmbH, KeyDrive Group)","21,857",16 ,0.00%
"Zhengzhou Century Connect Electronic Technology Development Co., Ltd","21,649",-21 ,0.00%
"Gabia, Inc.","21,367",-2 ,0.00%
"Xiamen Nawang Technology Co., Ltd","20,786",14 ,0.00%
CV. Rumahweb Indonesia,"19,420",3 ,0.00%
One.com A/S,"18,803",-6 ,0.00%
Intracom Middle East FZE,"18,757",0 ,0.00%
Melbourne IT Ltd,"16,941",-2 ,0.00%
INWX GmbH & Co. KG,"16,732",16 ,0.00%
"register.com, Inc. (Web.com)","16,646",24 ,0.00%
"OnlineNIC, Inc.","16,216",3 ,0.00%
Vautron Rechenzentrum AG (NICdirect / Antagus),"16,127",5 ,0.00%
Service Development Center of the State Commission Office for Public Sector Reform,"15,590",-208 ,0.00%
Domeneshop AS dba domainnameshop.com,"15,442",-2 ,0.00%
"Domain.com, LLC","15,011",144 ,0.00%
DOMAIN NAME NETWORK PTY LTD,"14,372",0 ,0.00%
"Gransy, s.r.o. d/b/a subreg.cz","13,964",20 ,0.00%
"DNC Holdings, Inc.","13,905",3 ,0.00%
"Soluciones Corporativas IP, SL (DonDominio.com / MrDomain.com)","13,769",11 ,0.00%
Domainia Inc.,"12,391",0 ,0.00%
"WangJu Brands Management Co., Ltd.","12,268",20 ,0.00%
Beijing Zhuoyue Shengming Technologies Company Ltd.,"12,039",9 ,0.00%
CSL Computer Service Langenbach GmbH d/b/a joker.com,"11,877",18 ,0.00%
SafeNames Ltd.,"10,857",11 ,0.00%
"Guangdong HUYI Internet & IP Services Co., Ltd","10,583",-15 ,0.00%
Super Registry Inc. (Momentous),"9,988",-9 ,0.00%
Webnames Limited,"9,230",-12 ,0.00%
CV. Jogjacamp,"9,049",8 ,0.00%
Global Village GmbH,"8,758",-3 ,0.00%
"COREhub, S.R.L.","8,559",6 ,0.00%
"Go Montenegro Domains, LLC (GoDaddy Group)","8,319",-5 ,0.00%
Ledl.net GmbH,"8,166",2 ,0.00%
Reg2C.com Inc.,"8,077",0 ,0.00%
"Go Australia Domains, LLC (GoDaddy Group)","7,994",-6 ,0.00%
"Blue Razor Domains, LLC (GoDaddy Group)","7,978",-3 ,0.00%
"Go China Domains, LLC (GoDaddy Group)","7,964",-1 ,0.00%
"Go France Domains, LLC (GoDaddy Group)","7,959",-3 ,0.00%
Dinahosting s.l.,"7,840",1 ,0.00%
"Go Canada Domains, LLC (GoDaddy Group)","7,648",-1 ,0.00%
Register NV dba Register.eu,"7,577",10 ,0.00%
"Marcaria.com International, Inc.","7,549",-7 ,0.00%
TLD Registrar Pty Ltd,"7,240",0 ,0.00%
NETIM SARL,"7,073",5 ,0.00%
